Month,all sectors cents per kilowatthour,residential cents per kilowatthour,commercial cents per kilowatthour,industrial cents per kilowatthour
Feb-10,9.49,11.34,9.52,6.68
Jan-10,9.43,11.21,9.34,6.41
Dec-09,9.36,11.52,9.35,6.59
Nov-09,9.24,12.08,9.54,6.24
Oct-09,9.39,11.97,9.49,6.32
Sep-09,9.64,12.05,9.4,6.37
Aug-09,9.85,12.15,9.45,6.37
Jul-09,10.02,12.38,9.48,6.23
Jun-09,10.27,12.66,10.06,6.74
May-09,9.87,12.84,9.6,6.53
Apr-09,9.74,12.88,9.56,7.06
Mar-09,10.02,12.93,9.8,7.25
Feb-09,10.41,12.84,10.4,7.47
Jan-09,10.41,12.6,9.98,7.84
Dec-08,10.82,13.08,10.61,8.25
Nov-08,10.56,13.28,10.3,8.15
Oct-08,10.98,13.53,10.51,8.8
Sep-08,11.33,13.51,10.78,8.93
Aug-08,11.9,13.84,11.29,9.54
Jul-08,12.22,14.06,11.58,10.15
Jun-08,11.92,13.43,11.81,9.9
May-08,10.62,12.94,10.46,8.64
Apr-08,10.52,12.53,10.52,8.73
Mar-08,10.1,11.97,10.2,8.18
Feb-08,9.77,11.35,9.92,7.78
Jan-08,10.14,11.65,10.29,7.99
Dec-07,9.73,11.75,9.69,7.69
Nov-07,9.74,12.03,9.79,7.66
Oct-07,10.14,12.42,10,7.75
Sep-07,10.3,12.44,9.88,7.76
Aug-07,10.28,12.4,9.91,7.69
Jul-07,10.37,12.51,10.04,7.78
Jun-07,10.41,12.73,10.03,8.03
May-07,10.1,12.62,9.85,7.87
Apr-07,10.05,12.56,10.02,7.88
Mar-07,10.1,12.46,10.06,7.85
Feb-07,9.99,11.97,9.63,7.78
Jan-07,9.93,12.08,9.45,7.77
Dec-06,9.78,11.91,9.45,7.75
Nov-06,9.85,12.52,9.53,7.69
Oct-06,10.22,13.18,9.76,7.55
Sep-06,10.69,13.25,10.07,7.71
Aug-06,11.04,13.35,10.27,8.16
Jul-06,10.84,13.31,10.07,7.84
Jun-06,10.77,13.41,9.9,7.97
May-06,10.2,12.98,9.56,7.75
Apr-06,10.06,12.72,9.9,7.66
Mar-06,9.98,12.42,9.79,7.82
Feb-06,10.05,12.12,9.91,8.06
Jan-06,9.96,11.91,9.83,7.86
Dec-05,9.78,11.42,9.51,8.02
Nov-05,9.67,11.5,9.37,8.16
Oct-05,10.13,11.6,9.73,8.67
Sep-05,10.13,11.66,9.52,8.25
Aug-05,9.82,11.47,9.32,7.61
Jul-05,9.49,11.29,8.85,7.1
Jun-05,9.19,11.21,8.63,6.89
May-05,8.51,10.72,8.34,6.46
Apr-05,8.23,10.15,8.21,6.45
Mar-05,8.13,10.05,8.18,6.22
Feb-05,7.95,9.5,8.04,6.06
Jan-05,7.71,9.15,7.88,5.85
Dec-04,7.66,9.24,7.7,5.85
Nov-04,7.76,9.37,7.94,5.97
Oct-04,7.71,9.57,7.51,5.81
Sep-04,8.34,10.32,7.99,5.93
Aug-04,8.85,10.71,8.48,6.36
Jul-04,8.58,10.48,8.24,6.04
Jun-04,8.55,10.44,8.25,6.24
May-04,7.86,9.76,7.8,5.94
Apr-04,7.52,9.39,7.77,5.71
Mar-04,7.27,8.93,7.58,5.47
Feb-04,7.24,8.55,7.49,5.52
Jan-04,7.31,8.61,7.63,5.52
Dec-03,6.87,8.38,7.32,4.92
Nov-03,6.89,8.59,7.38,4.97
Oct-03,7.13,8.93,7.45,5.16
Sep-03,7.65,9.52,7.64,5.2
Aug-03,8.13,9.89,8.08,5.46
Jul-03,8.38,9.97,8.6,5.73
Jun-03,8.28,10.07,8.66,5.55
May-03,7.62,9.35,8.06,5.23
Apr-03,7.26,9.03,7.7,5.35
Mar-03,7.55,9.02,8.19,5.59
Feb-03,6.94,8.11,7.34,5.24
Jan-03,6.62,7.71,7.21,4.8
Dec-02,6.54,8.07,7.03,4.41
Nov-02,6.19,7.44,6.73,4.35
Oct-02,6.29,7.51,6.58,4.59
Sep-02,6.45,8.04,6.65,3.94
Aug-02,6.73,8.07,6.97,4.53
Jul-02,6.98,8.49,6.96,4.81
Jun-02,6.91,8.5,7.19,4.1
May-02,6.32,8.15,6.47,4.43
Apr-02,6.53,7.98,6.82,4.97
Mar-02,6.64,7.79,7.5,5
Feb-02,7.06,7.98,7.88,5.57
Jan-02,6.73,8.11,6.95,5.03
Dec-01,6.93,8.23,7.53,5
Nov-01,6.92,8.4,7.61,4.95
Oct-01,7.38,9.11,7.61,5.18
Sep-01,7.65,9.27,7.53,5.32
Aug-01,8,9.53,7.84,5.55
Jul-01,7.98,9.55,7.88,5.65
Jun-01,7.9,9.63,8,5.65
May-01,7.34,8.91,7.96,5.38
Apr-01,7.04,8.52,7.83,5.1
Mar-01,7.02,8.39,7.83,5.1
Feb-01,6.91,8.02,7.61,5.11
Jan-01,6.9,7.68,7.65,5.12
